PERFIL,CLAS,LONG,LAT,ALT,RL,CIT
255,CAMBISSOLO HÁPLICO Ta Eutrófico,"-37,240055","-5,284014",60,Plano,"FRANCELINO, Márcio Rocha. 2001"
256,VERTISSOLO CROMADO Órtico típico,"-37,621054","-5,229511",40,Plano,"FRANCELINO, Márcio Rocha. 2001"
257,ARGISSOLO VERMELHO Eutrófico típico,"-37,547244","-5,220364",50,Plano,"FRANCELINO, Márcio Rocha. 2001"
258,CHERNOSSOLO RÊNDZICO Lítico típico,"-37,187961","-5,449253",60,Plano,"FRANCELINO, Márcio Rocha. 2001"
259,LATOSSOLO VERMELHO Distrófico psamítico ,"-36,881977","-5,177782",120,Plano,"FRANCELINO, Márcio Rocha. 2001"
260,Latossolo Amarelo Distrófico húmico ,"-41,854524","-20,421867",1256,Relevo Montanhoso ,"Rodrigues, Kleber Ramon. 2011"
261,Cambissolo húmico distrófico típico ,"-42,408417","-20,6977",1658,Relevo Montanhoso ,"Rodrigues, Kleber Ramon. 2011  "
262,Neossolo Regolítico Húmico Típico ,"-41,841746","-20,403534",1778,Linha de Crista ,"Rodrigues, Kleber Ramon. 2011"
263,Cambissolo húmico distrófico típico ,"-41,836746","-20,410756",1975,Relevo Montanhoso ,"Rodrigues, Kleber Ramon. 2011"
264,Organossolo Hapilitico Saprício Típico ,"-41,836746","-20,410756",2379,Relevo Abaciado ,"Rodrigues, Kleber Ramon. 2011"
265,Cambissolo Húmico Distrófico Típico ,"-41,810913","-20,420478",2632,Relevo Suave ondulado Abaciado ,"Rodrigues, Kleber Ramon. 2011"
266,Neossolo Latolítico Húmico Típico ,"-41,804801","-20,421589",2887,Relevo Suave ondulado ,"Rodrigues, Kleber Ramon. 2011"
267,NITOSSOLO VERMELHO Eutrófico típico,"-43,753285","-16,173068",596,Ondulado,"Martins, Carolina Malala.2012"
268,LATOSSOLO VERMELHO Eutrófico típico,"-43,744168","-16,205264",552,Ondulado,"Martins, Carolina Malala.2012"
269,CAMBISSOLO HÁPLICO Tb Eutrófico típico,"-43,682331","-16,151193",652,Forte ondulado,"Martins, Carolina Malala. 2012"
270,NEOSSOLO LITÓLICO Eutrófico típico,"-42,906046","-15,510712",679,Ondulado,"Martins, Carolina Malala. 2012"
271,CAMBISSOLO HÁPLICO Ta Eutrófico típico,"-42,903778","-15,511052",635,Ondulado,"Martins, Carolina Malala. 2012"
272,CAMBISSOLO HÁPLICO Ta Eutrófico típico,"-42,902097","-15,509554",608,Ondulado,"Martins, Carolina Malala. 2012"
273,CAMBISSOLO HÁPLICO Tb distrófico típico,"-42,882656","-15,460387",587,Suave ondulado/depressão,"Martins, Carolina Malala. 2012"
274,CAMBISSOLO HÁPLICO Tb Eutrófico típico,"-42,822732","-15,386377",618,Forte ondulado,"Martins, Carolina Malala. 2012"
275,CAMBISSOLO HÁPLICO Tb Eutrófico típico,"-42,914621","-14,445662",1119,Escarpado/ montanhoso,"Martins, Carolina Malala. 2012"
276,LATOSSOLO VERMELHO Eutrófico cambissólico,"-42,882447","-14,467008",906,Suave ondulado,"Martins, Carolina Malala. 2012"
277,LATOSSOLO VERMELHO Distrófico típico,"-47,7598","-15,10788",924,Plano,"LYNCH, Leila de Souza. 2009"
278,LATOSSOLO VERMELHO-AMARELO Distrófico típico,"-47,76275","-15,09435",882,Plano suave ondulado,"LYNCH, Leila de Souza. 2009"
279,LATOSSOLO VERMELHO-AMARELO Eutrófico típico,"-47,76567","-15,08653",815,Suave Ondulado,"LYNCH, Leila de Souza. 2009"
280,PLINTOSSOLO PÉTRICO Concrecionário distrófico típico,"-47,76599","-15,08094",815,Suave Ondulado,"LYNCH, Leila de Souza. 2009"
281,NITOSSOLO VERMELHO Eutrófico latossólico,"-47,77192","-15,07345",778,Plano,"LYNCH, Leila de Souza. 2009"
282,LATOSSOLO VERMELHO Eutrófico típico,"-47,77444","-15,06853",775,Suave Ondulado,"LYNCH, Leila de Souza. 2009"
283, Chernossolo Ebânico Órtico típico ,"-47,77636","-15,06373",758,Plano a suave ondulado ,"LYNCH, Leila de Souza. 2009"
